code_r;desig_r;dif;jour;month;mois;annee;num_man;code_p;design_p;poste;type_nav;nom_nav;sejour;num_gros;pavilion
505;CAP CARBON;01:00:00;20;7;Juillet;2013;1984;1;ENTREE;POSTE 17;CEREALIER;SILVERSTAR;10;20130903;CHYPRE
506;CAP SIGLI;01:00:00;20;7;Juillet;2013;1984;1;ENTREE;POSTE 17;CEREALIER;SILVERSTAR;10;20130903;CHYPRE
507;CAP BOUAK 2;01:00:00;20;7;Juillet;2013;1984;1;ENTREE;POSTE 17;CEREALIER;SILVERSTAR;10;20130903;CHYPRE
505;CAP CARBON;00:25:00;20;7;Juillet;2013;1985;2;SORTIE;POSTE 03;PETROLIER;NAVE EQUINOX;1;20130950;ILES MARSHALL
506;CAP SIGLI;00:25:00;20;7;Juillet;2013;1985;2;SORTIE;POSTE 03;PETROLIER;NAVE EQUINOX;1;20130950;ILES MARSHALL
507;CAP BOUAK 2;00:25:00;20;7;Juillet;2013;1985;2;SORTIE;POSTE 03;PETROLIER;NAVE EQUINOX;1;20130950;ILES MARSHALL
507;CAP BOUAK 2;01:15:00;20;7;Juillet;2013;1986;1;ENTREE;POSTE 18;CARGO;SEA ENDURANCE;4;20130934;CHYPRE
507;CAP BOUAK 2;00:29:40;21;7;Juillet;2013;1987;2;SORTIE;POSTE 18;CARGO;RINA;8;20130898;COOK  ISLAND
505;CAP CARBON;00:45:00;21;7;Juillet;2013;1988;2;SORTIE;POSTE 24;CARGO;MISTRAL;1;20130932;TURQUIE
506;CAP SIGLI;00:45:00;21;7;Juillet;2013;1988;2;SORTIE;POSTE 24;CARGO;MISTRAL;1;20130932;TURQUIE
505;CAP CARBON;00:39:59;21;7;Juillet;2013;1989;1;ENTREE;POSTE 24;TANKER;IANUK;2;20130938;MALTE
506;CAP SIGLI;00:39:59;21;7;Juillet;2013;1989;1;ENTREE;POSTE 24;TANKER;IANUK;2;20130938;MALTE
507;CAP BOUAK 2;00:39:59;21;7;Juillet;2013;1989;1;ENTREE;POSTE 24;TANKER;IANUK;2;20130938;MALTE
505;CAP CARBON;01:15:12;21;7;Juillet;2013;1990;1;ENTREE;POSTE 13;CARGO;GREEN FAST;6;20130919;GIBRALTAR
506;CAP SIGLI;01:15:12;21;7;Juillet;2013;1990;1;ENTREE;POSTE 13;CARGO;GREEN FAST;6;20130919;GIBRALTAR
507;CAP BOUAK 2;00:50:00;22;7;Juillet;2013;1991;2;SORTIE;POSTE 19;CARGO;ISTRA;5;20130908;SLOVAQUIE
507;CAP BOUAK 2;00:45:07;22;7;Juillet;2013;1992;1;ENTREE;POSTE 19;CARGO;ALFA TWILIGHT;2;20130915;MALTE
507;CAP BOUAK 2;01:45:20;22;7;Juillet;2013;1993;8;LOCATION;POSTE 11;CARGO;BLUE HORIZON;5;20130955;MALTE
505;CAP CARBON;00:25:00;22;7;Juillet;2013;1994;2;SORTIE;POSTE 12;CARGO;SAFRAN 1;6;20130889;TURQUIE
507;CAP BOUAK 2;00:30:00;22;7;Juillet;2013;1995;1;ENTREE;POSTE 13;CARGO;STURM;7;20130935;PANAMA
505;CAP CARBON;00:55:19;23;7;Juillet;2013;1996;2;SORTIE;POSTE 09;RO/RO;HANSALAND;3;20130948;BAHAMAS
506;CAP SIGLI;00:55:19;23;7;Juillet;2013;1996;2;SORTIE;POSTE 09;RO/RO;HANSALAND;3;20130948;BAHAMAS
505;CAP CARBON;01:20:00;23;7;Juillet;2013;1997;1;ENTREE;POSTE 09;RO/RO;ROBUR;0;20130960;ITALIE
506;CAP SIGLI;01:20:00;23;7;Juillet;2013;1997;1;ENTREE;POSTE 09;RO/RO;ROBUR;0;20130960;ITALIE
503;CHELIFF 6;00:40:00;23;7;Juillet;2013;2000;2;SORTIE;POSTE 09;RO/RO;ROBUR;0;20130960;ITALIE
506;CAP SIGLI;00:40:00;23;7;Juillet;2013;2000;2;SORTIE;POSTE 09;RO/RO;ROBUR;0;20130960;ITALIE
505;CAP CARBON;03:19:53;23;7;Juillet;2013;2001;1;ENTREE;SPM;PETROLIER;CAP CHARLES;2;20130962;GRECE
506;CAP SIGLI;03:19:53;23;7;Juillet;2013;2001;1;ENTREE;SPM;PETROLIER;CAP CHARLES;2;20130962;GRECE
